name,k-plexes
jazz_2_10,8059.0
jazz_2_20,2.0
jazz_2_30,1.0
jazz_3_10,257233.0
jazz_3_20,2.0
jazz_3_30,1.0
jazz_4_10,10079740.0
jazz_4_20,479.0
jazz_4_30,1.0
jazz_5_10,392090210.0
jazz_5_20,6193.0
jazz_5_30,1.0
celegansneural_2_10,2.0
celegansneural_3_10,127.0
celegansneural_4_10,6172.0
celegansneural_5_10,374646.0
ca-GrQc_2_10,377.0
ca-GrQc_2_20,118.0
ca-GrQc_2_30,9.0
ca-GrQc_3_10,13352.0
ca-GrQc_3_20,1568.0
ca-GrQc_3_30,7.0
ca-GrQc_4_10,262694.0
ca-GrQc_4_20,9167.0
ca-GrQc_4_30,6724.0
ca-GrQc_5_10,21672598.0
ca-GrQc_5_20,25337.0
ca-GrQc_5_30,14830.0
wiki-Vote_2_10,9162664.0
wiki-Vote_2_20,52.0
wiki-Vote_3_10,1337635587.0
wiki-Vote_3_20,156727.0
wiki-Vote_4_20,46729532.0
wiki-Vote_5_20,6702194177.0
lastfm_asia_edges_2_10,9426.0
lastfm_asia_edges_3_10,212906.0
lastfm_asia_edges_4_10,5118262.0
lastfm_asia_edges_4_20,73.0
lastfm_asia_edges_5_10,125536302.0
lastfm_asia_edges_5_20,4717.0
as-caida20071105_2_10,23314.0
as-caida20071105_3_10,1531876.0
as-caida20071105_4_10,81765023.0
as-caida20071105_4_20,331.0
as-caida20071105_5_10,3682844821.0
as-caida20071105_5_20,34466.0
hollywood-2009_2_50,88463338.0
hollywood-2009_2_100,15432.0
hollywood-2009_3_100,9932568.0
hollywood-2009_4_100,3119732102.0
p2p-Gnutella31_5_10,48.0
soc-Epinions1_2_10,73945657.0
soc-Epinions1_2_20,3322167.0
soc-Epinions1_3_20,548634119.0
soc-Epinions1_3_30,16066.0
soc-Epinions1_4_30,13172906.0
soc-Epinions1_5_30,2743776625.0
twitter_combined_2_20,8424018964.0
twitter_combined_2_30,6986622970.0
twitter_combined_2_50,3532924018.0
email-EuAll_2_10,1042929.0
email-EuAll_3_10,75751394.0
email-EuAll_3_20,2637.0
email-EuAll_4_10,5079499315.0
email-EuAll_4_20,1707177.0
email-EuAll_5_20,175620101.0
com-dblp.ungraph_2_10,20093.0
com-dblp.ungraph_2_20,5049.0
com-dblp.ungraph_2_30,889.0
com-dblp.ungraph_2_50,54.0
com-dblp.ungraph_2_100,2.0
com-dblp.ungraph_3_10,3533269.0
com-dblp.ungraph_3_20,2141932.0
com-dblp.ungraph_3_30,60677.0
com-dblp.ungraph_3_50,1229.0
com-dblp.ungraph_3_100,2.0
com-dblp.ungraph_4_10,949577919.0
com-dblp.ungraph_4_20,492253045.0
com-dblp.ungraph_4_30,12088200.0
com-dblp.ungraph_4_50,19604.0
com-dblp.ungraph_4_100,2.0
com-dblp.ungraph_5_50,230304.0
com-dblp.ungraph_5_100,2.0
amazon0505_2_10,22483.0
amazon0505_3_10,248433.0
amazon0505_4_10,5284985.0
amazon0505_5_10,258897855.0
web-Google_2_10,5577636.0
web-Google_2_20,81504.0
web-Google_2_30,5921.0
web-Google_3_10,734484620.0
web-Google_3_20,1901073.0
web-Google_3_30,102634.0
web-Google_4_20,45289539.0
web-Google_4_30,899440.0
web-Google_5_20,2587884439.0
web-Google_5_30,72036500.0
com-youtube.ungraph_2_10,7391703.0
com-youtube.ungraph_2_20,4.0
com-youtube.ungraph_3_10,1280724364.0
com-youtube.ungraph_3_20,2541.0
com-youtube.ungraph_4_20,1153971.0
com-youtube.ungraph_5_20,270301490.0
soc-orkut_2_50,42403.0
